"A81004001","DR LEIGH","Y54","Q74","283 ACKLAM ROAD","","","MIDDLESBROUGH","CLEVELAND","TS5 7BP","20040401","","","","A81004","20040401","","01642 818952","","","","0","","A","","",""
"A81013001","DR CLEMENTS","Y54","Q74","THE CLINIC","HIGH STREET","LINGDALE","SALTBURN BY SEA","CLEVELAND","TS12 3EX","20040401","","","","A81013","20040401","","","","","","0","","A","","",""
"A81016001","DR BASSON","Y54","Q74","131 KINGS ROAD","NORTH ORMESBY","","MIDDLESBROUGH","CLEVELAND","TS3 6EY","20040401","","","","A81016","20040401","","01642 242796","","","","0","","A","","",""
"A81017001","DR CONTRACTOR","Y54","Q74","WOODBRIDGE PRACTICE","MYTON ROAD","INGLEBY BARWICK","STOCKTON ON TEES","CLEVELAND","TS17 0WA","20040401","20160630","","","A81017","20040401","20160630","","","","","0","","A","","",""
"A81017002","INGLEBY BARWICK","Y54","Q74","30 MYTON ROAD","INGLEBY BARWICK","","STOCKTON-ON-TEES","CLEVELAND","TS17 0WG","20131001","","","","A81017","20131001","","","","","","0","","A","","",""
"A81022001","DR PARKIN","Y54","Q74","THE CLINIC","THE HIGH STREET","LINGDALE","SALTBURN-BY-THE-SEA","CLEVELAND","TS12 3EX","20040401","","","","A81022","20040401","","","","","","0","","A","","",""
"A81030001","DR LAKEMAN","Y54","Q74","NUNTHORPE SURGERY","87 GUISBOROUGH ROAD","NUNTHORPE","MIDDLESBROUGH","CLEVELAND","TS7 0JS","20040401","","","","A81030","20040401","","01642 315390","","","","0","","A","","",""
"A81031001","BRIERTON MEDICAL CENTRE","Y54","Q74","EARLSFERRY ROAD","","","HARTLEPOOL","CLEVELAND","TS25 4AZ","20131001","","","","A81031","20131001","","","","","","0","","A","","",""
"A81034001","DR NEOH","Y54","Q74","BARWICK MEDICAL CENTRE","LOWFIELDS AVENUE","INGLEBY BARWICK","STOCKTON-ON-TEES","CLEVELAND","TS17 0RJ","20040401","","","","A81034","20040401","","01642 762921","","","","0","","A","","",""
"A81044001","DR BOLT","Y54","Q74","THROSTON MEDICAL CENTRE","82 WILTSHIRE WAY","","HARTLEPOOL","CLEVELAND","TS26 0XT","20040401","","","","A81044","20040401","","","","","","0","","A","","",""
"A81044002","VICTORIA MEDICAL PRACTICE","Y54","Q74","THE HEALTH CENTRE","VICTORIA ROAD","","HARTLEPOOL","CLEVELAND","TS26 8DB","20161001","","","","A81044","20161001","","","","","","0","","A","","",""
"A81048001","SALTBURN BRANCH SURGERY","Y54","Q74","2 WINDSOR ROAD","","","SALTBURN-BY-THE-SEA","CLEVELAND","TS12 1BH","20040401","","","","A81048","20040401","","","","","","0","","A","","",""
"A81053001","DR GLASBY","Y54","Q74","THE CLINIC","BROTTON ROAD","CARLIN HOW","SALTBURN BY SEA","CLEVELAND","TS13 4DY","20040401","","","","A81053","20040401","","","","","","0","","A","","",""
"A81057001","PORT CLARENCE HEALTH CENTRE","Y54","Q74","PORT CLARENCE ROAD","PORT CLARENCE","","MIDDLESBROUGH","CLEVELAND","TS2 1TW","20061001","","","","A81057","20061001","","","","","","0","","A","","",""
"A81063001","DR OMER & THAKUR","Y54","Q74","151 ANNANDALE CRESCENT","","","HARTLEPOOL","CLEVELAND","TS24 9BS","20040401","","","","A81063","20040401","","","","","","0","","A","","",""
"A81065001","DR ROBSON","Y54","Q74","10-12 JUBILEE ROAD","ESTON","","MIDDLESBROUGH","CLEVELAND","TS6 9ER","20040401","","","","A81065","20040401","","01642 455524","","","","0","","A","","",""
"A81067001","UNIVERSITY OF DURHAM","Y54","Q74","QUEENS CAMPUS STOCKTON","UNIVERSITY BOULEVARD","THORNABY","STOCKTON-ON-TEES","CLEVELAND","TS17 6BH","20040401","","","","A81067","20040401","","","","","","0","","A","","",""
"A81070001","GP1","Y54","Q74","WHITBY STREET","","","HARTLEPOOL","CLEVELAND","TS24 7AB","20080409","","","","A81070","20080409","","","","","","0","","A","","",""
"A81608001","DR TUNIO","Y54","Q74","51 WESTBURY STREET","THORNABY","","STOCKTON-ON-TEES","CLEVELAND","TS17 6NP","20040401","","","","A81608","20040401","","","","","","0","","A","","",""
"A81612001","DR PATEL","Y54","Q74","21 WYNYARD ROAD","","","HARTLEPOOL","CLEVELAND","TS25 3LB","20040401","","","","A81612","20040401","","","","","","0","","A","","",""
"A81623001","DR SYED","Y54","Q74","HARDWICK HEALTH CENTRE","HARDWICK ROAD","","STOCKTON-ON-TEES","CLEVELAND","TS19 8JX","20040401","","","","A81623","20040401","","","","","","0","","A","","",""
"A81630001","DR GUY","Y54","Q74","NEIGHBOURHOOD CENTRE","BOLCKOW ROAD","GRANGETOWN","MIDDLESBROUGH","CLEVELAND","TS6 7BS","20040401","","","","A81630","20040401","","01642 508508","","","","0","","A","","",""
"A81630003","THE STAGES ACADEMY","Y54","Q74","BRIDGE STREET WEST","","","MIDDLESBROUGH","CLEVELAND","TS2 1AB","20141001","","","","A81630","20141001","","","","","","0","","A","","",""
"A82004001","DR MILLS - GARRIGILL SURGERY","Y54","Q74","VILLAGE HALL","","","GARRIGILL","CUMBRIA","CA9 3DS","20040401","","","","A82004","20040401","","","","","","0","","A","","",""
"A82004002","DR MILLS - NENTHEAD SURGERY","Y54","Q74","NENTHEAD SURGERY","OVERWATER","","NENTHEAD","CUMBRIA","CA9 3NT","20040401","","","","A82004","20040401","","","","","","0","","A","","",""
"A82005001","DR BIRKET","Y54","Q84","1 FIELD FOOT","","","GRASMERE","CUMBRIA","LA22 9TB","20040401","","","","A82005","20040401","","015394 32693","","","","1","","B","","",""
"A82012001","DR WEAVING BEECH HOUSE","Y54","Q74","BEECH HOUSE","CORBY HILL","","CARLISLE","CUMBRIA","CA4 8PL","20040401","","","","A82012","20040401","","01228 560854","","","","0","","A","","",""
"A82012002","DR WEAVING YEW TREE COTTAGE","Y54","Q74","WETHERALL","","","CARLISLE","CUMBRIA","CA4 8JD","20090401","","","","A82012","20090401","","","","","","0","","A","","",""
"A82013001","BROUGH MEDICAL CENTRE","Y54","Q74","MAIN STREET","BROUGH","","KIRKBY STEPHEN","CUMBRIA","CA17 4AY","20111001","","","","A82013","20111001","","","","","","0","","A","","",""
"A82016002","ARNSIDE HOUSE","Y54","Q74","SYCAMORE LANE","","","CARLISLE","CUMBRIA","CA1 3SR","20070401","","","","A82016","20070401","","","","","","0","","A","","",""
"A82016003","BRUNSWICK HOUSE MEDICAL GROUP","Y54","Q74","1 BRUNSWICK STREET","","","CARLISLE","CUMBRIA","CA1 1ED","20161001","","","","A82016","20161001","","","","","","0","","A","","",""
"A82016004","NORTH CARLISLE MEDICAL PRACTICE","Y54","Q74","EDEN STREET","","","CARLISLE","CUMBRIA","CA3 9JZ","20161001","","","","A82016","20161001","","","","","","0","","A","","",""
"A82017001","DR BRIGGS BRUNSWICK HOUSE MEDICAL GROUP","Y54","Q74","HARRABY SURGERY","1 EASTERN WAY","","CARLISLE","CUMBRIA","CA1 3QZ","20040401","","","","A82017","20040401","","01228 593996","","","","0","","A","","",""
"A82018001","DR BRITTON 42 BLACKWELL ROAD","Y54","Q74","42 BLACKWELL ROAD","","","CARLISLE","CUMBRIA","CA2 4EQ","20040401","","","","A82018","20040401","","01228 531975","","","","0","","A","","",""
